x_um,x_over_WB,NA_cm-3,nB_cm-3,nB_normalized,eta_0_means_linear
0.0,0.0,1e+17,78124921.87499994,1.0,0.0
8.33889816360601e-05,0.001667779632721202,9.983322203672787e+16,77994626.46068066,0.9983322170289303,0.0
0.0001667779632721202,0.003335559265442404,9.966644407345576e+16,77864331.04592457,0.9966644340522693,0.0
0.00025016694490818025,0.0050033388981636055,9.949966611018363e+16,77734035.6307295,0.9949966510699894,0.0
0.0003335559265442404,0.006671118530884808,9.933288814691152e+16,77603740.21509321,0.9933288680820619,0.0
0.0004169449081803005,0.00833889816360601,9.91661101836394e+16,77473444.79901354,0.9916610850884592,0.0
0.0005003338898163605,0.010006677796327211,9.899933222036728e+16,77343149.38248818,0.9899933020891515,0.0
0.0005837228714524207,0.011674457429048414,9.883255425709517e+16,77212853.96551488,0.9883255190841104,0.0
0.0006671118530884808,0.013342237061769615,9.866577629382304e+16,77082558.5480914,0.9866577360733068,0.0
0.0007505008347245409,0.015010016694490817,9.849899833055091e+16,76952263.13021547,0.9849899530567118,0.0
0.000833889816360601,0.01667779632721202,9.83322203672788e+16,76821967.71188472,0.9833221700342952,0.0
0.0009172787979966612,0.018345575959933223,9.816544240400667e+16,76691672.29309689,0.9816543870060279,0.0
0.001000667779632721,0.020013355592654422,9.799866444073456e+16,76561376.8738496,0.9799866039718796,0.0
0.0010840567612687814,0.021681135225375625,9.783188647746243e+16,76431081.45414057,0.978318820931821,0.0
0.0011674457429048414,0.023348914858096828,9.766510851419032e+16,76300786.03396736,0.9766510378858209,0.0
0.0012508347245409016,0.025016694490818028,9.749833055091819e+16,76170490.61332764,0.9749832548338493,0.0
0.0013342237061769616,0.02668447412353923,9.733155258764608e+16,76040195.19221897,0.9733154717758754,0.0
0.0014176126878130216,0.028352253756260434,9.716477462437397e+16,75909899.77063896,0.9716476887118681,0.0
0.0015010016694490817,0.030020033388981633,9.699799666110184e+16,75779604.34858519,0.9699799056417968,0.0
0.0015843906510851417,0.031687813021702836,9.683121869782971e+16,75649308.9260552,0.9683121225656298,0.0
0.001667779632721202,0.03335559265442404,9.66644407345576e+16,75519013.5030465,0.9666443394833354,0.0
0.0017511686143572623,0.03502337228714524,9.649766277128547e+16,75388718.07955663,0.964976556394882,0.0
0.0018345575959933223,0.036691151919866445,9.633088480801334e+16,75258422.65558311,0.9633087733002379,0.0
0.001917946577629382,0.03835893155258764,9.616410684474123e+16,75128127.23112339,0.9616409901993703,0.0
0.002001335559265442,0.040026711185308844,9.599732888146912e+16,74997831.80617495,0.9599732070922472,0.0
0.0020847245409015024,0.04169449081803005,9.5830550918197e+16,74867536.38073526,0.9583054239788361,0.0
0.002168113522537563,0.04336227045075125,9.566377295492488e+16,74737240.9548017,0.9566376408591033,0.0
0.002251502504173623,0.04503005008347245,9.549699499165275e+16,74606945.52837172,0.9549698577330165,0.0
0.002334891485809683,0.046697829716193656,9.533021702838064e+16,74476650.10144271,0.9533020746005421,0.0
0.002418280467445743,0.04836560934891485,9.516343906510851e+16,74346354.67401206,0.9516342914616466,0.0
0.002501669449081803,0.050033388981636055,9.49966611018364e+16,74216059.24607709,0.9499665083162958,0.0
0.002585058430717863,0.05170116861435726,9.482988313856427e+16,74085763.81763516,0.948298725164456,0.0
0.002668447412353923,0.05336894824707846,9.466310517529214e+16,73955468.38868362,0.946630942006093,0.0
0.002751836393989983,0.055036727879799664,9.449632721202003e+16,73825172.95921971,0.9449631588411719,0.0
0.002835225375626043,0.05670450751252087,9.432954924874792e+16,73694877.52924074,0.9432953756696579,0.0
0.0029186143572621035,0.05837228714524207,9.416277128547579e+16,73564582.098744,0.9416275924915165,0.0
0.0030020033388981635,0.060040066777963266,9.399599332220368e+16,73434286.66772671,0.939959809306712,0.0
0.0030853923205342235,0.06170784641068447,9.382921535893155e+16,73303991.23618609,0.9382920261152088,0.0
0.0031687813021702834,0.06337562604340567,9.366243739565944e+16,73173695.80411935,0.9366242429169713,0.0
0.003252170283806344,0.06504340567612688,9.349565943238731e+16,73043400.37152366,0.9349564597119633,0.0
0.003335559265442404,0.06671118530884808,9.332888146911518e+16,72913104.93839623,0.9332886765001489,0.0
0.0034189482470784642,0.06837896494156928,9.316210350584307e+16,72782809.50473416,0.9316208932814912,0.0
0.0035023372287145246,0.07004674457429048,9.299532554257094e+16,72652514.07053457,0.9299531100559533,0.0
0.0035857262103505846,0.07171452420701169,9.282854757929883e+16,72522218.63579461,0.9282853268234985,0.0
0.0036691151919866446,0.07338230383973289,9.266176961602672e+16,72391923.2005113,0.926617543584089,0.0
0.003752504173622704,0.07505008347245408,9.24949916527546e+16,72261627.76468176,0.9249497603376875,0.0
0.003835893155258764,0.07671786310517528,9.232821368948248e+16,72131332.32830298,0.923281977084256,0.0
0.003919282136894824,0.07838564273789649,9.216143572621035e+16,72001036.89137201,0.9216141938237563,0.0
0.004002671118530884,0.08005342237061769,9.199465776293822e+16,71870741.45388585,0.9199464105561502,0.0
0.004086060100166945,0.08172120200333889,9.182787979966611e+16,71740446.01584145,0.9182786272813986,0.0
0.004169449081803005,0.0833889816360601,9.166110183639398e+16,71610150.57723579,0.9166108439994628,0.0
0.004252838063439065,0.0850567612687813,9.149432387312187e+16,71479855.13806576,0.9149430607103031,0.0
0.004336227045075126,0.0867245409015025,9.132754590984974e+16,71349559.69832833,0.9132752774138807,0.0
0.004419616026711186,0.0883923205342237,9.116076794657763e+16,71219264.25802031,0.9116074941101548,0.0
0.004503005008347246,0.0900601001669449,9.099398998330552e+16,71088968.81713863,0.9099397107990859,0.0
0.004586393989983306,0.09172787979966611,9.082721202003339e+16,70958673.3756801,0.9082719274806335,0.0
0.004669782971619366,0.09339565943238731,9.066043405676128e+16,70828377.93364152,0.9066041441547563,0.0
0.004753171953255426,0.09506343906510852,9.049365609348915e+16,70698082.49101974,0.9049363608214142,0.0
0.004836560934891486,0.0967312186978297,9.032687813021702e+16,70567787.04781148,0.9032685774805651,0.0
0.0049199499165275455,0.09839899833055091,9.016010016694491e+16,70437491.60401347,0.9016007941321673,0.0
0.005003338898163606,0.10006677796327211,8.999332220367278e+16,70307196.15962249,0.8999330107761794,0.0
0.0050867278797996655,0.10173455759599331,8.982654424040066e+16,70176900.7146352,0.8982652274125585,0.0
0.005170116861435726,0.10340233722871452,8.965976627712854e+16,70046605.26904826,0.8965974440412624,0.0
0.0052535058430717855,0.10507011686143572,8.949298831385643e+16,69916309.82285833,0.894929660662248,0.0
0.005336894824707846,0.10673789649415692,8.93262103505843e+16,69786014.37606208,0.8932618772754726,0.0
0.005420283806343907,0.10840567612687813,8.91594323873122e+16,69655718.92865601,0.8915940938808915,0.0
0.005503672787979966,0.11007345575959933,8.899265442404006e+16,69525423.4806368,0.8899263104784623,0.0
0.005587061769616027,0.11174123539232053,8.882587646076795e+16,69395128.03200091,0.8882585270681395,0.0
0.005670450751252086,0.11340901502504173,8.865909849749582e+16,69264832.58274491,0.8865907436498792,0.0
0.005753839732888147,0.11507679465776294,8.849232053422371e+16,69134537.13286527,0.8849229602236363,0.0
0.005837228714524207,0.11674457429048414,8.832554257095158e+16,69004241.68235847,0.8832551767893659,0.0
0.005920617696160266,0.11841235392320533,8.815876460767946e+16,68873946.23122095,0.8815873933470221,0.0
0.006004006677796327,0.12008013355592653,8.799198664440734e+16,68743650.7794491,0.8799196098965592,0.0
0.006087395659432386,0.12174791318864774,8.782520868113523e+16,68613355.32703933,0.8782518264379305,0.0
0.006170784641068447,0.12341569282136894,8.76584307178631e+16,68483059.87398802,0.8765840429710903,0.0
0.006254173622704508,0.12508347245409016,8.749165275459099e+16,68352764.42029144,0.8749162594959906,0.0
0.006337562604340567,0.12675125208681134,8.732487479131886e+16,68222468.96594594,0.8732484760125848,0.0
0.006420951585976627,0.12841903171953253,8.715809682804675e+16,68092173.51094778,0.8715806925208247,0.0
0.006504340567612688,0.13008681135225375,8.699131886477462e+16,67961878.05529322,0.8699129090206629,0.0
0.006587729549248747,0.13175459098497494,8.682454090150251e+16,67831582.59897846,0.8682451255120505,0.0
0.006671118530884808,0.13342237061769616,8.665776293823038e+16,67701287.14199969,0.8665773419949387,0.0
0.006754507512520867,0.13509015025041735,8.649098497495826e+16,67570991.68435308,0.8649095584692786,0.0
0.0068378964941569285,0.13675792988313856,8.632420701168614e+16,67440696.22603476,0.8632417749350205,0.0
0.006921285475792988,0.13842570951585975,8.615742904841403e+16,67310400.7670408,0.8615739913921143,0.0
0.007004674457429049,0.14009348914858097,8.59906510851419e+16,67180105.30736731,0.8599062078405101,0.0
0.007088063439065108,0.14176126878130216,8.58238731218698e+16,67049809.847010314,0.858238424280157,0.0
0.007171452420701169,0.14342904841402337,8.565709515859766e+16,66919514.385965794,0.8565706407110035,0.0
0.007254841402337228,0.14509682804674456,8.549031719532554e+16,66789218.924229786,0.8549028571329991,0.0
0.007338230383973289,0.14676460767946578,8.532353923205342e+16,66658923.46179814,0.8532350735460904,0.0
0.007421619365609349,0.14843238731218697,8.51567612687813e+16,66528627.99866687,0.8515672899502265,0.0
0.007505008347245408,0.15010016694490816,8.498998330550918e+16,66398332.53483179,0.8498995063453539,0.0
0.007588397328881469,0.15176794657762938,8.482320534223706e+16,66268037.07028878,0.8482317227314198,0.0
0.007671786310517528,0.15343572621035056,8.465642737896494e+16,66137741.60503364,0.8465639391083704,0.0
0.007755175292153589,0.15510350584307178,8.448964941569283e+16,66007446.13906216,0.8448961554761517,0.0
0.007838564273789648,0.15677128547579297,8.43228714524207e+16,65877150.672370106,0.8432283718347099,0.0
0.007921953255425709,0.1584390651085142,8.415609348914859e+16,65746855.20495316,0.8415605881839893,0.0
0.008005342237061768,0.16010684474123538,8.398931552587646e+16,65616559.73680702,0.839892804523935,0.0
0.008088731218697829,0.1617746243739566,8.382253756260434e+16,65486264.267927356,0.8382250208544917,0.0
0.00817212020033389,0.16344240400667778,8.365575959933222e+16,65355968.79830973,0.8365572371756024,0.0
0.00825550918196995,0.165110183639399,8.34889816360601e+16,65225673.32794977,0.8348894534872112,0.0
0.00833889816360601,0.1667779632721202,8.332220367278797e+16,65095377.856842995,0.8332216697892607,0.0
0.00842228714524207,0.1684457429048414,8.315542570951586e+16,64965082.384984896,0.8315538860816933,0.0
0.00850567612687813,0.1701135225375626,8.298864774624374e+16,64834786.91237099,0.8298861023644516,0.0
0.00858906510851419,0.17178130217028378,8.282186978297163e+16,64704491.43899665,0.8282183186374764,0.0
0.008672454090150251,0.173449081803005,8.26550918196995e+16,64574195.96485733,0.8265505349007094,0.0
0.00875584307178631,0.1751168614357262,8.24883138564274e+16,64443900.489948355,0.8248827511540907,0.0
0.008839232053422371,0.1767846410684474,8.232153589315526e+16,64313605.01426507,0.823214967397561,0.0
0.00892262103505843,0.1784524207011686,8.215475792988314e+16,64183309.537802756,0.8215471836310595,0.0
0.009006010016694491,0.1801202003338898,8.198797996661102e+16,64053014.060556605,0.8198793998545251,0.0
0.00908939899833055,0.181787979966611,8.18212020033389e+16,63922718.582521915,0.8182116160678972,0.0
0.009172787979966611,0.18345575959933222,8.165442404006677e+16,63792423.10369379,0.8165438322711134,0.0
0.00925617696160267,0.1851235392320534,8.148764607679466e+16,63662127.62406736,0.8148760484641113,0.0
0.009339565943238731,0.18679131886477462,8.132086811352254e+16,63531832.14363775,0.8132082646468284,0.0
0.00942295492487479,0.18845909849749581,8.115409015025042e+16,63401536.66239999,0.8115404808192014,0.0
0.009506343906510851,0.19012687813021703,8.09873121869783e+16,63271241.18034907,0.8098726969811657,0.0
0.009589732888146912,0.19179465776293822,8.082053422370618e+16,63140945.69747998,0.8082049131326575,0.0
0.009673121869782971,0.1934624373956594,8.065375626043406e+16,63010650.21378764,0.8065371292736117,0.0
0.009756510851419032,0.19513021702838063,8.048697829716194e+16,62880354.72926692,0.8048693454039626,0.0
0.009839899833055091,0.19679799666110181,8.032020033388982e+16,62750059.24391267,0.8032015615236443,0.0
0.009923288814691152,0.19846577629382303,8.01534223706177e+16,62619763.75771967,0.80153377763259,0.0
0.010006677796327213,0.20013355592654422,7.998664440734557e+16,62489468.27068272,0.7998659937307332,0.0
0.010090066777963272,0.20180133555926544,7.981986644407346e+16,62359172.78279647,0.7981982098180053,0.0
0.010173455759599331,0.20346911519198663,7.965308848080134e+16,62228877.29405562,0.7965304258943384,0.0
0.010256844741235392,0.20513689482470784,7.948631051752922e+16,62098581.80445479,0.7948626419596638,0.0
0.010340233722871453,0.20680467445742903,7.93195325542571e+16,61968286.313988544,0.793194858013912,0.0
0.010423622704507512,0.20847245409015025,7.915275459098498e+16,61837990.82265142,0.7915270740570128,0.0
0.010507011686143571,0.21014023372287144,7.898597662771285e+16,61707695.330437906,0.7898592900888959,0.0
0.010590400667779633,0.21180801335559266,7.881919866444074e+16,61577399.83734241,0.7881915061094896,0.0
0.010673789649415693,0.21347579298831384,7.86524207011686e+16,61447104.343359366,0.7865237221187226,0.0
0.010757178631051752,0.21514357262103503,7.84856427378965e+16,61316808.84848308,0.7848559381165221,0.0
0.010840567612687814,0.21681135225375625,7.831886477462437e+16,61186513.352707855,0.7831881541028153,0.0
0.010923956594323873,0.21847913188647744,7.815208681135226e+16,61056217.85602795,0.7815203700775285,0.0
0.011007345575959933,0.22014691151919866,7.798530884808014e+16,60925922.35843754,0.7798525860405872,0.0
0.011090734557595992,0.22181469115191985,7.781853088480802e+16,60795626.85993078,0.7781848019919166,0.0
0.011174123539232054,0.22348247078464106,7.76517529215359e+16,60665331.360501766,0.7765170179314411,0.0
0.011257512520868113,0.22515025041736225,7.748497495826378e+16,60535035.86014456,0.7748492338590849,0.0
0.011340901502504172,0.22681803005008347,7.731819699499165e+16,60404740.35885315,0.7731814497747707,0.0
0.011424290484140233,0.22848580968280466,7.715141903171954e+16,60274444.85662144,0.7715136656784206,0.0
0.011507679465776294,0.23015358931552587,7.698464106844741e+16,60144149.35344335,0.769845881569957,0.0
0.011591068447412353,0.23182136894824706,7.68178631051753e+16,60013853.8493127,0.7681780974493005,0.0
0.011674457429048414,0.23348914858096828,7.665108514190317e+16,59883558.344223306,0.7665103133163722,0.0
0.011757846410684473,0.23515692821368947,7.648430717863106e+16,59753262.83816887,0.7648425291710913,0.0
0.011841235392320532,0.23682470784641066,7.631752921535894e+16,59622967.33114305,0.7631747450133767,0.0
0.011924624373956595,0.23849248747913188,7.615075125208682e+16,59492671.823139496,0.761506960843147,0.0
0.012008013355592654,0.24016026711185307,7.59839732888147e+16,59362376.31415176,0.7598391766603197,0.0
0.012091402337228715,0.24182804674457428,7.581719532554258e+16,59232080.804173335,0.7581713924648117,0.0
0.012174791318864772,0.24349582637729547,7.565041736227045e+16,59101785.293197714,0.7565036082565396,0.0
0.012258180300500835,0.2451636060100167,7.548363939899834e+16,58971489.78121821,0.7548358240354177,0.0
0.012341569282136894,0.24683138564273788,7.53168614357262e+16,58841194.2682282,0.7531680398013614,0.0
0.012424958263772956,0.2484991652754591,7.515008347245408e+16,58710898.75422096,0.7515002555542845,0.0
0.012508347245409016,0.2501669449081803,7.498330550918197e+16,58580603.239189684,0.7498324712940998,0.0
0.012591736227045075,0.2518347245409015,7.481652754590986e+16,58450307.723127544,0.7481646870207201,0.0
0.012675125208681134,0.2535025041736227,7.464974958263773e+16,58320012.206027634,0.746496902734057,0.0
0.012758514190317195,0.2551702838063439,7.448297161936562e+16,58189716.68788294,0.7448291184340206,0.0
0.012841903171953254,0.25683806343906507,7.43161936560935e+16,58059421.168686464,0.7431613341205214,0.0
0.012925292153589315,0.2585058430717863,7.414941569282136e+16,57929125.64843112,0.7414935497934687,0.0
0.013008681135225375,0.2601736227045075,7.398263772954925e+16,57798830.12710972,0.7398257654527705,0.0
0.013092070116861435,0.2618414023372287,7.381585976627714e+16,57668534.60471504,0.7381579810983342,0.0
0.013175459098497494,0.2635091819699499,7.364908180300501e+16,57538239.08123981,0.7364901967300669,0.0
0.013258848080133556,0.2651769616026711,7.348230383973288e+16,57407943.556676656,0.7348224123478742,0.0
0.013342237061769615,0.2668447412353923,7.331552587646077e+16,57277648.031018145,0.7331546279516608,0.0
0.013425626043405674,0.2685125208681135,7.314874791318866e+16,57147352.5042568,0.7314868435413311,0.0
0.013509015025041734,0.2701803005008347,7.298196994991653e+16,57017056.97638506,0.7298190591167883,0.0
0.013592404006677798,0.27184808013355594,7.281519198664442e+16,56886761.44739526,0.7281512746779345,0.0
0.013675792988313857,0.2735158597662771,7.264841402337229e+16,56756465.917279765,0.7264834902246717,0.0
0.013759181969949918,0.2751836393989983,7.248163606010016e+16,56626170.38603076,0.7248157057569001,0.0
0.013842570951585975,0.2768514190317195,7.231485809682805e+16,56495874.85364042,0.7231479212745192,0.0
0.013925959933222034,0.2785191986644407,7.214808013355594e+16,56365579.320100814,0.7214801367774277,0.0
0.014009348914858099,0.28018697829716194,7.19813021702838e+16,56235283.78540397,0.7198123522655235,0.0
0.014092737896494158,0.2818547579298831,7.181452420701169e+16,56104988.249541804,0.7181445677387034,0.0
0.014176126878130217,0.2835225375626043,7.1647746243739576e+16,55974692.712506205,0.7164767831968631,0.0
0.014259515859766276,0.2851903171953255,7.148096828046745e+16,55844397.17428895,0.7148089986398978,0.0
0.014342904841402338,0.28685809682804675,7.131419031719533e+16,55714101.63488174,0.7131412140677009,0.0
0.014426293823038398,0.28852587646076794,7.114741235392321e+16,55583806.09427622,0.7114734294801657,0.0
0.014509682804674457,0.2901936560934891,7.098063439065109e+16,55453510.552463934,0.7098056448771838,0.0
0.014593071786310518,0.2918614357262103,7.081385642737896e+16,55323215.009436354,0.7081378602586461,0.0
0.014676460767946578,0.29352921535893156,7.064707846410685e+16,55192919.465184875,0.7064700756244425,0.0
0.014759849749582638,0.29519699499165275,7.048030050083473e+16,55062623.91970081,0.7048022909744619,0.0
0.014843238731218698,0.29686477462437394,7.03135225375626e+16,54932328.3729754,0.703134506308592,0.0
0.014926627712854757,0.29853255425709513,7.014674457429049e+16,54802032.824999765,0.7014667216267192,0.0
0.015010016694490817,0.3002003338898163,6.9979966611018376e+16,54671737.27576498,0.6997989369287292,0.0
0.01509340567612688,0.30186811352253756,6.981318864774624e+16,54541441.72526203,0.6981311522145067,0.0
0.015176794657762938,0.30353589315525875,6.964641068447413e+16,54411146.1734818,0.696463367483935,0.0
0.015260183639398997,0.30520367278797994,6.947963272120201e+16,54280850.62041508,0.6947955827368962,0.0
0.015343572621035056,0.30687145242070113,6.931285475792989e+16,54150555.0660526,0.6931277979732718,0.0
0.015426961602671119,0.3085392320534224,6.914607679465776e+16,54020259.51038497,0.6914600131929414,0.0
0.015510350584307178,0.31020701168614356,6.897929883138565e+16,53889963.95340272,0.6897922283957837,0.0
0.015593739565943237,0.31187479131886475,6.881252086811353e+16,53759668.39509632,0.688124443581677,0.0
0.015677128547579296,0.31354257095158594,6.86457429048414e+16,53629372.83545609,0.6864566587504972,0.0
0.01576051752921536,0.3152103505843072,6.847896494156929e+16,53499077.27447228,0.6847888739021196,0.0
0.015843906510851418,0.3168781302170284,6.831218697829716e+16,53368781.71213509,0.6831210890364188,0.0
0.01592729549248748,0.31854590984974956,6.814540901502504e+16,53238486.14843455,0.6814533041532669,0.0
0.016010684474123536,0.32021368948247075,6.797863105175293e+16,53108190.58336061,0.6797855192525356,0.0
0.016094073455759597,0.32188146911519194,6.781185308848081e+16,52977895.01690318,0.6781177343340955,0.0
0.016177462437395658,0.3235492487479132,6.764507512520867e+16,52847599.449052006,0.6764499493978156,0.0
0.01626085141903172,0.3252170283806344,6.747829716193656e+16,52717303.87979674,0.6747821644435633,0.0
0.01634424040066778,0.32688480801335557,6.731151919866445e+16,52587008.30912696,0.673114379471205,0.0
0.016427629382303837,0.32855258764607675,6.714474123539233e+16,52456712.73703213,0.6714465944806063,0.0
0.0165110183639399,0.330220367278798,6.69779632721202e+16,52326417.16350159,0.6697788094716304,0.0
0.016594407345575962,0.3318881469115192,6.681118530884809e+16,52196121.5885246,0.6681110244441398,0.0
0.01667779632721202,0.3335559265442404,6.664440734557596e+16,52065826.01209032,0.666443239397996,0.0
0.016761185308848077,0.33522370617696157,6.647762938230384e+16,51935530.43418774,0.664775454333058,0.0
0.01684457429048414,0.3368914858096828,6.631085141903173e+16,51805234.85480579,0.6631076692491839,0.0
0.016927963272120202,0.338559265442404,6.61440734557596e+16,51674939.273933314,0.6614398841462311,0.0
0.01701135225375626,0.3402270450751252,6.597729549248747e+16,51544643.69155899,0.6597720990240545,0.0
0.01709474123539232,0.3418948247078464,6.581051752921536e+16,51414348.10767138,0.658104313882508,0.0
0.01717813021702838,0.34356260434056757,6.564373956594325e+16,51284052.52225897,0.656436528721444,0.0
0.017261519198664442,0.3452303839732888,6.547696160267111e+16,51153756.935310096,0.6547687435407132,0.0
0.017344908180300503,0.34689816360601,6.5310183639399e+16,51023461.346813,0.6531009583401652,0.0
0.01742829716193656,0.3485659432387312,6.514340567612689e+16,50893165.75675578,0.6514331731196475,0.0
0.01751168614357262,0.3502337228714524,6.497662771285476e+16,50762870.16512645,0.649765387879007,0.0
0.017595075125208682,0.3519015025041736,6.480984974958264e+16,50632574.571912825,0.6480976026180872,0.0
0.017678464106844743,0.3535692821368948,6.464307178631053e+16,50502278.97710268,0.6464298173367321,0.0
0.0177618530884808,0.355237061769616,6.44762938230384e+16,50371983.38068363,0.644762032034783,0.0
0.01784524207011686,0.3569048414023372,6.430951585976627e+16,50241687.78264314,0.6430942467120794,0.0
